pattern;avg_power
1;-73.83
2;-76.61428571428571
3;-74.11428571428571
4;-73.79142857142857
5;-73.48142857142857
6;-75.0657142857143
7;-75.64571428571428
8;-76.91142857142857
9;-75.43285714285715
10;-77.36428571428571
11;-74.43285714285715
12;-75.70714285714287
13;-76.03285714285714
14;-77.35571428571428
15;-74.75571428571428
16;-76.85285714285715
17;-68.20857142857143
18;-68.89428571428572
19;-76.47714285714287
20;-76.44714285714285
21;-76.67999999999999
22;-79.04142857142857
23;-75.92999999999999
24;-75.47285714285715
25;-74.18857142857142
26;-72.63000000000001
27;-75.42285714285715
