pattern;count;mean;median;std;min;max
1;5;-76.458;-76.670;1.765;-78.430;-74.360
2;5;-78.826;-79.930;2.737;-81.520;-75.750
3;5;-78.628;-78.570;2.594;-82.050;-74.870
4;5;-79.002;-78.780;0.754;-80.140;-78.260
5;5;-81.086;-81.270;1.746;-83.550;-78.810
6;5;-81.590;-83.410;3.117;-83.950;-76.730
7;5;-70.850;-71.660;2.291;-73.200;-67.350
8;5;-67.876;-67.810;0.308;-68.390;-67.580
9;5;-78.086;-76.600;2.864;-81.800;-75.240
10;5;-78.910;-78.330;2.430;-81.260;-75.460
11;5;-78.724;-77.120;3.276;-84.360;-76.410
12;5;-80.996;-80.520;3.722;-86.960;-77.390
13;5;-80.986;-80.260;4.982;-86.770;-74.790
14;5;-77.790;-76.260;3.621;-82.220;-73.700
15;5;-78.480;-77.720;2.855;-82.870;-75.780
16;5;-78.542;-78.490;0.848;-79.860;-77.610
17;5;-79.406;-78.890;3.538;-83.300;-74.290
18;5;-82.156;-81.830;1.822;-84.080;-79.710
19;5;-77.436;-77.020;1.526;-79.610;-75.540
20;5;-78.942;-79.130;0.645;-79.600;-77.920
21;5;-80.042;-79.890;2.013;-82.100;-76.910
22;5;-78.042;-77.640;1.841;-80.790;-75.770
23;5;-79.224;-79.860;1.850;-81.480;-76.960
24;5;-81.744;-83.500;2.856;-84.020;-77.910
25;5;-78.898;-78.960;1.200;-80.730;-77.470
26;5;-81.616;-82.480;1.843;-83.390;-79.150
27;5;-78.966;-77.770;3.414;-83.260;-75.660
