pattern;count;mean;median;std;min;max
1;5;-75.256;-75.950;3.676;-79.930;-70.380
2;5;-74.062;-73.520;2.256;-76.800;-71.690
3;5;-75.116;-76.320;3.889;-80.320;-70.840
4;5;-74.872;-73.480;2.946;-79.500;-72.440
5;5;-74.866;-74.230;1.200;-76.970;-74.150
6;5;-68.912;-68.950;0.992;-69.930;-67.310
7;5;-78.438;-78.490;0.831;-79.680;-77.650
8;5;-73.748;-73.760;0.250;-74.050;-73.380
9;5;-81.244;-80.120;2.641;-85.520;-79.130
10;5;-78.408;-77.430;2.686;-82.300;-75.410
11;5;-78.952;-79.890;3.599;-83.080;-74.940
12;5;-78.102;-78.140;2.975;-82.190;-74.210
13;5;-78.866;-78.680;1.791;-80.750;-76.260
14;5;-79.456;-80.800;2.800;-82.130;-75.930
15;5;-75.398;-75.500;0.484;-75.870;-74.750
16;5;-77.908;-77.290;2.448;-81.350;-75.580
17;5;-69.206;-69.820;0.932;-69.910;-67.950
18;5;-71.970;-72.290;2.287;-75.100;-68.890
19;5;-78.168;-77.910;1.195;-80.080;-76.870
20;5;-75.244;-75.420;1.051;-76.680;-73.810
21;5;-79.108;-78.890;1.307;-81.000;-77.580
22;5;-77.718;-78.620;2.509;-79.870;-73.510
23;5;-76.186;-74.820;2.869;-81.010;-73.820
24;5;-78.542;-78.690;1.656;-80.290;-76.060
25;5;-75.500;-74.930;2.249;-78.130;-72.890
26;5;-76.540;-76.550;0.410;-77.060;-76.040
27;5;-74.210;-74.580;1.058;-75.460;-72.700
