pattern;count;mean;median;std;min;max
1;5;-77.924;-77.520;2.888;-82.510;-74.690
2;5;-76.374;-76.170;1.589;-78.750;-74.430
3;5;-76.806;-75.940;3.455;-82.750;-74.110
4;5;-75.578;-74.430;3.198;-81.150;-73.330
5;5;-77.060;-75.210;3.489;-81.890;-73.670
6;5;-76.780;-75.610;2.635;-80.940;-74.340
7;5;-76.476;-76.640;3.074;-80.130;-72.800
8;5;-77.458;-77.330;1.009;-78.540;-75.980
9;5;-79.418;-79.460;0.226;-79.630;-79.070
10;5;-80.714;-80.430;2.877;-85.170;-77.520
11;5;-78.362;-76.850;2.775;-81.620;-75.950
12;5;-79.432;-79.560;2.674;-83.190;-76.210
13;5;-78.638;-78.110;2.403;-82.620;-76.080
14;5;-78.182;-77.480;1.822;-81.040;-76.530
15;5;-77.122;-77.230;1.058;-78.470;-75.500
16;5;-80.272;-80.730;3.069;-84.680;-77.080
17;5;-68.244;-68.150;1.038;-69.550;-67.050
18;5;-70.686;-70.650;1.365;-72.890;-69.370
19;5;-77.828;-78.940;2.657;-80.100;-73.360
20;5;-77.566;-78.430;2.794;-80.720;-73.640
21;5;-78.266;-78.300;1.508;-80.640;-76.580
22;5;-77.616;-76.230;2.768;-80.870;-75.120
23;5;-78.004;-78.620;2.211;-79.650;-74.200
24;5;-78.862;-80.680;4.374;-83.720;-72.860
25;5;-74.156;-73.080;2.753;-77.240;-71.170
26;5;-76.870;-77.830;4.857;-82.030;-71.420
27;5;-74.892;-73.660;2.504;-78.180;-72.310
