pattern;count;mean;median;std;min;max
1;5;-69.286;-68.980;0.710;-70.370;-68.720
2;5;-66.848;-66.900;0.307;-67.240;-66.400
3;5;-69.440;-68.950;1.043;-70.810;-68.490
4;5;-70.404;-70.230;0.673;-71.390;-69.810
5;5;-73.878;-73.490;2.944;-78.500;-71.020
6;5;-70.352;-69.890;1.529;-71.980;-68.380
7;5;-79.688;-79.150;1.316;-81.750;-78.360
8;5;-68.080;-67.410;1.934;-71.090;-66.420
9;5;-67.208;-66.640;1.025;-68.880;-66.440
10;5;-67.338;-66.780;1.133;-69.060;-66.370
11;5;-69.800;-68.230;2.819;-74.030;-67.210
12;5;-67.278;-67.110;0.569;-68.250;-66.750
13;5;-65.870;-65.890;0.245;-66.220;-65.550
14;5;-66.860;-66.480;0.886;-68.210;-65.930
15;5;-71.910;-72.600;1.399;-73.280;-70.110
16;5;-72.662;-73.370;2.326;-75.440;-69.350
17;5;-71.558;-70.440;2.082;-74.480;-69.840
18;5;-70.154;-70.150;1.411;-72.330;-68.700
19;5;-77.584;-78.570;1.594;-78.970;-75.690
20;5;-76.626;-76.880;5.300;-84.590;-70.320
21;5;-70.424;-70.590;1.972;-72.800;-67.920
22;5;-73.566;-71.340;5.177;-82.790;-70.540
23;5;-70.910;-69.060;3.016;-74.670;-68.260
24;5;-68.958;-69.010;1.806;-71.830;-67.390
25;5;-68.122;-67.990;0.486;-68.740;-67.610
26;5;-71.230;-70.850;2.587;-75.290;-68.190
27;5;-69.870;-69.340;1.828;-72.210;-67.820
