Azimuth Angle (deg),Elevation Angle (deg),Received Power (Pr) [dBm]
0.0,-27,-62.883504965750994
1.8,-27,-62.88993549573014
3.6,-27,-62.90923979365887
5.4,-27,-62.94145608413908
7.2,-27,-62.98664841196476
9.0,-27,-63.0449071537989
10.8,-27,-63.11634974668251
12.6,-27,-63.20112164596412
14.4,-27,-63.29939752946797
16.2,-27,-63.41138276946153
18.0,-27,-63.53731519940062
19.8,-27,-63.67746720871609
21.6,-27,-63.83214820629861
23.400000000000002,-27,-64.00170750213034
25.2,-27,-64.18653766707914
27.0,-27,-64.38707844368066
28.8,-27,-64.60382129639486
30.6,-27,-64.83731470911637
32.4,-27,-65.08817036166786
34.2,-27,-65.35707034695231
36.0,-27,-65.64477562817108
37.800000000000004,-27,-65.95213598341314
39.6,-27,-66.28010174621286
41.4,-27,-66.62973772975214
43.2,-27,-67.00223982530426
45.0,-27,-67.39895490071072
46.800000000000004,-27,-67.82140480402506
48.6,-27,-68.27131551788304
50.4,-27,-68.75065283614009
52.2,-27,-69.26166638172526
54.0,-27,-69.80694440689997
55.800000000000004,-27,-70.38948269501675
57.6,-27,-71.01277214108174
59.4,-27,-71.68091142294892
61.2,-27,-72.39875390094343
63.0,-27,-73.17210202016084
64.8,-27,-74.00796891480417
66.60000000000001,-27,-74.91493715884434
68.4,-27,-75.90366143339688
70.2,-27,-76.98759046309443
72.0,-27,-78.1840340431698
73.8,-27,-79.51579420729063
75.60000000000001,-27,-81.0137612071459
77.4,-27,-82.72125210451048
79.2,-27,-84.7017165223848
81.0,-27,-87.05353172504134
82.8,-27,-89.94151763085158
84.60000000000001,-27,-93.67466527391615
86.4,-27,-98.94668267286315
88.2,-27,-107.97115201280349
90.0,-27,-549.2740792840239
91.8,-27,-inf
93.60000000000001,-27,-inf
95.4,-27,-inf
97.2,-27,-inf
99.0,-27,-inf
100.8,-27,-inf
102.60000000000001,-27,-inf
104.4,-27,-inf
106.2,-27,-inf
108.0,-27,-inf
109.8,-27,-inf
111.60000000000001,-27,-inf
113.4,-27,-inf
115.2,-27,-inf
117.0,-27,-inf
118.8,-27,-inf
120.60000000000001,-27,-inf
122.4,-27,-inf
124.2,-27,-inf
126.0,-27,-inf
127.8,-27,-inf
129.6,-27,-inf
131.4,-27,-inf
133.20000000000002,-27,-inf
135.0,-27,-inf
136.8,-27,-inf
138.6,-27,-inf
140.4,-27,-inf
142.20000000000002,-27,-inf
144.0,-27,-inf
145.8,-27,-inf
147.6,-27,-inf
149.4,-27,-inf
151.20000000000002,-27,-inf
153.0,-27,-inf
154.8,-27,-inf
156.6,-27,-inf
158.4,-27,-inf
160.20000000000002,-27,-inf
162.0,-27,-inf
163.8,-27,-inf
165.6,-27,-inf
167.4,-27,-inf
169.20000000000002,-27,-inf
171.0,-27,-inf
172.8,-27,-inf
174.6,-27,-inf
176.4,-27,-inf
178.20000000000002,-27,-inf
180.0,-27,-inf
0.0,-18,-62.883504965750994
1.8,-18,-62.88993549573014
3.6,-18,-62.90923979365887
5.4,-18,-62.94145608413908
7.2,-18,-62.98664841196476
9.0,-18,-63.0449071537989
10.8,-18,-63.11634974668251
12.6,-18,-63.20112164596412
14.4,-18,-63.29939752946797
16.2,-18,-63.41138276946153
18.0,-18,-63.53731519940062
19.8,-18,-63.67746720871609
21.6,-18,-63.83214820629861
23.400000000000002,-18,-64.00170750213034
25.2,-18,-64.18653766707914
27.0,-18,-64.38707844368066
28.8,-18,-64.60382129639486
30.6,-18,-64.83731470911637
32.4,-18,-65.08817036166786
34.2,-18,-65.35707034695231
36.0,-18,-65.64477562817108
37.800000000000004,-18,-65.95213598341314
39.6,-18,-66.28010174621286
41.4,-18,-66.62973772975214
43.2,-18,-67.00223982530426
45.0,-18,-67.39895490071072
46.800000000000004,-18,-67.82140480402506
48.6,-18,-68.27131551788304
50.4,-18,-68.75065283614009
52.2,-18,-69.26166638172526
54.0,-18,-69.80694440689997
55.800000000000004,-18,-70.38948269501675
57.6,-18,-71.01277214108174
59.4,-18,-71.68091142294892
61.2,-18,-72.39875390094343
63.0,-18,-73.17210202016084
64.8,-18,-74.00796891480417
66.60000000000001,-18,-74.91493715884434
68.4,-18,-75.90366143339688
70.2,-18,-76.98759046309443
72.0,-18,-78.1840340431698
73.8,-18,-79.51579420729063
75.60000000000001,-18,-81.0137612071459
77.4,-18,-82.72125210451048
79.2,-18,-84.7017165223848
81.0,-18,-87.05353172504134
82.8,-18,-89.94151763085158
84.60000000000001,-18,-93.67466527391615
86.4,-18,-98.94668267286315
88.2,-18,-107.97115201280349
90.0,-18,-549.2740792840239
91.8,-18,-inf
93.60000000000001,-18,-inf
95.4,-18,-inf
97.2,-18,-inf
99.0,-18,-inf
100.8,-18,-inf
102.60000000000001,-18,-inf
104.4,-18,-inf
106.2,-18,-inf
108.0,-18,-inf
109.8,-18,-inf
111.60000000000001,-18,-inf
113.4,-18,-inf
115.2,-18,-inf
117.0,-18,-inf
118.8,-18,-inf
120.60000000000001,-18,-inf
122.4,-18,-inf
124.2,-18,-inf
126.0,-18,-inf
127.8,-18,-inf
129.6,-18,-inf
131.4,-18,-inf
133.20000000000002,-18,-inf
135.0,-18,-inf
136.8,-18,-inf
138.6,-18,-inf
140.4,-18,-inf
142.20000000000002,-18,-inf
144.0,-18,-inf
145.8,-18,-inf
147.6,-18,-inf
149.4,-18,-inf
151.20000000000002,-18,-inf
153.0,-18,-inf
154.8,-18,-inf
156.6,-18,-inf
158.4,-18,-inf
160.20000000000002,-18,-inf
162.0,-18,-inf
163.8,-18,-inf
165.6,-18,-inf
167.4,-18,-inf
169.20000000000002,-18,-inf
171.0,-18,-inf
172.8,-18,-inf
174.6,-18,-inf
176.4,-18,-inf
178.20000000000002,-18,-inf
180.0,-18,-inf
0.0,-9,-62.883504965750994
1.8,-9,-62.88993549573014
3.6,-9,-62.90923979365887
5.4,-9,-62.94145608413908
7.2,-9,-62.98664841196476
9.0,-9,-63.0449071537989
10.8,-9,-63.11634974668251
12.6,-9,-63.20112164596412
14.4,-9,-63.29939752946797
16.2,-9,-63.41138276946153
18.0,-9,-63.53731519940062
19.8,-9,-63.67746720871609
21.6,-9,-63.83214820629861
23.400000000000002,-9,-64.00170750213034
25.2,-9,-64.18653766707914
27.0,-9,-64.38707844368066
28.8,-9,-64.60382129639486
30.6,-9,-64.83731470911637
32.4,-9,-65.08817036166786
34.2,-9,-65.35707034695231
36.0,-9,-65.64477562817108
37.800000000000004,-9,-65.95213598341314
39.6,-9,-66.28010174621286
41.4,-9,-66.62973772975214
43.2,-9,-67.00223982530426
45.0,-9,-67.39895490071072
46.800000000000004,-9,-67.82140480402506
48.6,-9,-68.27131551788304
50.4,-9,-68.75065283614009
52.2,-9,-69.26166638172526
54.0,-9,-69.80694440689997
55.800000000000004,-9,-70.38948269501675
57.6,-9,-71.01277214108174
59.4,-9,-71.68091142294892
61.2,-9,-72.39875390094343
63.0,-9,-73.17210202016084
64.8,-9,-74.00796891480417
66.60000000000001,-9,-74.91493715884434
68.4,-9,-75.90366143339688
70.2,-9,-76.98759046309443
72.0,-9,-78.1840340431698
73.8,-9,-79.51579420729063
75.60000000000001,-9,-81.0137612071459
77.4,-9,-82.72125210451048
