M,N,R,Phi
-8,-8,1.7223286562093774,0.5094667594174731
-8,-7,1.7321708922620769,0.5195468212351578
-8,-6,1.74218713116588,0.5295119807463515
-8,-5,1.7523743892216639,0.5393622460768709
-8,-4,1.7627297013439127,0.5490977143415287
-8,-3,1.7732501233610558,0.5587185674412646
-8,-2,1.7839327341578775,0.5682250678849894
-8,-1,1.7947746376634588,0.5776175546501146
-8,0,1.805772964688529,0.586896439094431
-8,1,1.8169248746164492,0.5960622009307196
-8,2,1.8282275569523614,0.6051153842742383
-8,3,1.8396782327352792,0.6140565937720428
-8,4,1.8512741558180947,0.6228864908219508
-8,5,1.8630126140206351,0.6316057898878827
-8,6,1.8748909301610053,0.6402152549172845
-8,7,1.8869064629705417,0.6487156958653743
-7,-8,1.7215925766568583,0.5097056340503637
-7,-7,1.7314389969040205,0.5197886108678673
-7,-6,1.741459445407788,0.5297565555204644
-7,-5,1.751650935546235,0.5396094783730246
-7,-4,1.7620104994011814,0.5493474788751379
-7,-3,1.7725351900597066,0.5589707413468811
-7,-2,1.7832220837573767,0.5684795307897536
-7,-1,1.7940682818666631,0.5778741887367697
-7,0,1.8050709127344555,0.5871551291543924
-7,1,1.816227133372916,0.5963228344077002
-7,2,1.8275341310082285,0.6053778512989386
-7,3,1.8389891244920402,0.6143207871884145
-7,4,1.850589365580598,0.6231523062055463
-7,5,1.862332140086725,0.631873125556796
-7,6,1.874214768909903,0.64048401193618
-7,7,1.886234608949799,0.6489857780430984
-6,-8,1.7209543863798367,0.5099129326102801
-6,-7,1.7308044372487608,0.5199984372036304
-6,-6,1.7408285383690147,0.5299687968948888
-6,-5,1.7510237005820337,0.5398240239965325
-6,-4,1.7613869535113515,0.5495642199887507
-6,-3,1.7719153478651286,0.559189571295333
-6,-2,1.7826059575800817,0.5687003450851261
-6,-1,1.793455881810311,0.5780968851130585
-6,0,1.804462246764947,0.5873796076134331
-6,1,1.815622207398885,0.5965489972568918
-6,2,1.8269329489611819,0.6056056031812044
-6,3,1.8383916884059284,0.6145500351048465
-6,4,1.8499956756706217,0.6233829595311777
-6,5,1.8617421948272002,0.6321050960499389
-6,6,1.8736285651110254,0.6407172137417666
-6,7,1.8856521418331644,0.6492201276904477
